image,locationName,city,gencapacity (kW),Unnamed: 4,latitude,longitude
https://der.nyserda.ny.gov/static/map/img/dot-solar.svg,"103 Sparling Road, LLC","Saugerties, NY",4200,,42.1000894,-73.9582318
https://der.nyserda.ny.gov/static/map/img/dot-solar.svg,132 Pattersonville Rynex Corners Rd,"Schenectady, NY",3000,,42.825598,-74.0644909
https://der.nyserda.ny.gov/static/map/img/dot-solar.svg,141 Verbeck Ave,"Schaghticoke, NY",3200,,42.9398564,-73.6173733
https://der.nyserda.ny.gov/static/map/img/dot-solar.svg,20598 Old Rome Road,"Watertown, NY",3000,,43.957111,-75.9826619
https://der.nyserda.ny.gov/static/map/img/dot-solar.svg,2453 West Creek Road,"Newark Valley, NY",6900,,42.1936433,-76.2501927
https://der.nyserda.ny.gov/static/map/img/dot-solar.svg,273 Finchville Turnpike,"Otisville, NY",6800,,41.4572653,-74.5449638
https://der.nyserda.ny.gov/static/map/img/dot-solar.svg,2B Rotterdam Landfill,"Pattersonville, NY",4500,,42.8834249,-74.0840554
https://der.nyserda.ny.gov/static/map/img/dot-solar.svg,443 Glen Mary Drive,"Tioga, NY",9900,,42.1042914,-76.2914981
https://der.nyserda.ny.gov/static/map/img/dot-solar.svg,519 Route 151 - 519 County Route 151 (North B),"St. Johnsville, NY",1943,,43.0584995,-74.7409491
https://der.nyserda.ny.gov/static/map/img/dot-solar.svg,5813A Route 30,"Amsterdam, NY",2800,,42.9087964,-74.2200861
https://der.nyserda.ny.gov/static/map/img/dot-solar.svg,5813B Route 30,"Amsterdam, NY",2800,,42.9087964,-74.2200861
https://der.nyserda.ny.gov/static/map/img/dot-solar.svg,5813E Route 30,"Amsterdam, NY",2800,,42.9087964,-74.2200861
https://der.nyserda.ny.gov/static/map/img/dot-solar.svg,93 Villa Roma Rd,"Callicoon, NY",9400,,41.753652,-74.9614279
https://der.nyserda.ny.gov/static/map/img/dot-solar.svg,"ABA Clean Energy, LLC 55 Lehigh Road, Richland","Richland, NY",2600,,43.512639,-76.1219419
https://der.nyserda.ny.gov/static/map/img/dot-solar.svg,"Abundant Solar Pow - 2985 County Route 84 42.026902, 77.5 - PV Systems","Troupsburg, NY",7000,,42.0240012,-77.559854
https://der.nyserda.ny.gov/static/map/img/dot-solar.svg,Abundant Solar Pow - 5701 Bowman Rd,"East Syracuse, NY",5700,,43.045646,-76.0274679
https://der.nyserda.ny.gov/static/map/img/dot-solar.svg,Abundant Solar Power Bennett,"Victory, NY",1983,,42.9362675,-77.4717639
https://der.nyserda.ny.gov/static/map/img/dot-solar.svg,Abundant Solar Power Inc. - 8894 Main Street,"Honeoye, NY",7000,,42.7900972,-77.5288825
https://der.nyserda.ny.gov/static/map/img/dot-solar.svg,Abundant Solar Power Macedon,"Macedon, NY",2800,,43.061257,-77.3498589
https://der.nyserda.ny.gov/static/map/img/dot-solar.svg,Abundant Solar Power Whittier,"Spencerport, NY",2600,,43.1509436,-77.8632288
https://der.nyserda.ny.gov/static/map/img/dot-solar.svg,Abundant Solar Power Williamson,"Williamson, NY",2800,,43.2348253,-77.1553436
https://der.nyserda.ny.gov/static/map/img/dot-solar.svg,"AC Power 14, LLC - 20 Shisler Road","Lancaster, NY",6600,,42.9500621,-78.6297479
https://der.nyserda.ny.gov/static/map/img/dot-solar.svg,"AC Power 9, LLC - 45 Leavy Hollow Ln","Fort Edward, NY",6900,,43.292254,-73.5700009
https://der.nyserda.ny.gov/static/map/img/dot-solar.svg,"AC Power, LLC - 10 Shisler Road","Lancaster, NY",6100,,42.9491191,-78.6329591
https://der.nyserda.ny.gov/static/map/img/dot-solar.svg,"Adams Renewables, LLC - 13396 NY178 - PV Systems","Adams, NY",4400,,43.8125606,-76.1069147
https://der.nyserda.ny.gov/static/map/img/dot-solar.svg,"Aegis Solar, LLC","Canandaigua, NY",3000,,42.7647028,-77.3470219
https://der.nyserda.ny.gov/static/map/img/dot-solar.svg,"AES Distributed Energy, Inc. - 469 NY17K #1 - PV Systems","Rock Tavern, NY",7100,,41.5252985,-74.1448003
https://der.nyserda.ny.gov/static/map/img/dot-solar.svg,AETS Camillus A LLC - 6327 Van Alstine Road,"Camillus, NY",6600,,43.0781904,-76.3176055
https://der.nyserda.ny.gov/static/map/img/dot-solar.svg,AETS Camillus B LLC - 6198 Van Alstine Road,"Camillus, NY",6600,,43.0734968,-76.3123032
https://der.nyserda.ny.gov/static/map/img/dot-solar.svg,Affordable Housing - 42160 Airport Rd,"New Hampton, NY",6700,,41.4291058,-74.4043516
